t,cmd_swing,cmd_boom,cmd_arm,cmd_bucket,fk_x,fk_y,fk_z
2.8600,0.126795,-0.805325,1.621852,-1.416526,4.2453,0.5412,0.4405
2.8800,0.119092,-0.809740,1.630790,-1.421050,4.2349,0.5067,0.4391
2.9000,0.111286,-0.814050,1.639521,-1.425470,4.2245,0.4721,0.4377
2.9200,0.103377,-0.818256,1.648043,-1.429788,4.2141,0.4372,0.4363
2.9400,0.095362,-0.822358,1.656360,-1.434002,4.2038,0.4021,0.4350
2.9600,0.087242,-0.826357,1.664471,-1.438114,4.1936,0.3668,0.4337
2.9800,0.079014,-0.830253,1.672378,-1.442125,4.1833,0.3312,0.4325
3.0000,0.070679,-0.834047,1.680081,-1.446034,4.1731,0.2954,0.4313
3.0200,0.062234,-0.837738,1.687581,-1.449843,4.1629,0.2594,0.4301
3.0400,0.053680,-0.841329,1.694879,-1.453551,4.1528,0.2231,0.4290
3.0600,0.045015,-0.844818,1.701977,-1.457159,4.1426,0.1866,0.4280
3.0800,0.036238,-0.848208,1.708875,-1.460667,4.1324,0.1498,0.4269
3.1000,0.027349,-0.851497,1.715573,-1.464076,4.1222,0.1128,0.4259
3.1200,0.018347,-0.854687,1.722074,-1.467387,4.1120,0.0755,0.4250
3.1400,0.009231,-0.857778,1.728378,-1.470600,4.1018,0.0379,0.4241
3.1600,0.000000,-0.860771,1.734487,-1.473716,4.0915,0.0000,0.4232
3.1800,0.000000,-0.860771,1.734487,-1.473716,4.0915,0.0000,0.4232
3.2000,0.000000,-0.845707,1.734354,-1.488647,4.0969,0.0000,0.4670
3.2200,0.000000,-0.830581,1.734078,-1.500000,4.1048,0.0000,0.5121
3.2400,0.000000,-0.815399,1.733659,-1.500000,4.1220,0.0000,0.5618
3.2600,0.000000,-0.800169,1.733097,-1.500000,4.1386,0.0000,0.6116
3.2800,0.000000,-0.784897,1.732391,-1.500000,4.1547,0.0000,0.6616
3.3000,0.000000,-0.769589,1.731541,-1.500000,4.1701,0.0000,0.7117
3.3200,0.000000,-0.754251,1.730546,-1.500000,4.1849,0.0000,0.7619
3.3400,0.000000,-0.738890,1.729407,-1.500000,4.1991,0.0000,0.8123
3.3600,0.000000,-0.723511,1.728121,-1.500000,4.2127,0.0000,0.8627
3.3800,0.000000,-0.723511,1.728121,-1.500000,4.2127,0.0000,0.8627
3.4000,0.031836,-0.715402,1.701020,-1.500000,4.2401,0.1350,0.8485
3.4200,0.062032,-0.705571,1.670924,-1.500000,4.2667,0.2650,0.8355
3.4400,0.090660,-0.693996,1.637804,-1.500000,4.2929,0.3903,0.8236
3.4600,0.117795,-0.680657,1.601629,-1.500000,4.3188,0.5111,0.8129
3.4800,0.143515,-0.665533,1.562352,-1.496819,4.3475,0.6282,0.8046
3.5000,0.167896,-0.648596,1.519908,-1.471312,4.3952,0.7450,0.8058
3.5200,0.191013,-0.629804,1.474201,-1.444397,4.4443,0.8594,0.8083
3.5400,0.212938,-0.609100,1.425097,-1.415997,4.4948,0.9718,0.8121
